date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:53	122/122	---MCZ	200	added ('OK')	text/plain	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/robots.txt		(from )
22:33:53	226964/226964	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/	C:/My%20Web%20Sites/demo2/www.laserteam.pro/index.html	(from )
22:33:54	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/favicon.ico	C:/My%20Web%20Sites/demo2/www.laserteam.pro/favicon.ico	(from https://www.laserteam.pro/)
22:33:55	193537/193537	---MCZ	200	added ('OK')	application/atom+xml	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/feeds/posts/default	C:/My%20Web%20Sites/demo2/www.laserteam.pro/feeds/posts/default	(from https://www.laserteam.pro/)
22:33:56	180302/180302	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/demo2/www.laserteam.pro/feeds/posts/default9522	(from https://www.laserteam.pro/)
22:33:56	56517/56517	---MCZ	200	added ('OK')	text/css	etag:W/%22164a58dcca37a5b00c22e06ee8e2fc68%22	https://use.fontawesome.com/releases/v5.10.2/css/all.css	C:/My%20Web%20Sites/demo2/use.fontawesome.com/releases/v5.10.2/css/all.css	(from https://www.laserteam.pro/)
22:33:57	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%227cc40c199d128af6b01e74a28c5900b0%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/demo2/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://www.laserteam.pro/)
22:33:58	71037/71037	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1157d%22	https://code.jquery.com/jquery-3.4.1.slim.min.js	C:/My%20Web%20Sites/demo2/code.jquery.com/jquery-3.4.1.slim.min.js	(from https://www.laserteam.pro/)
22:33:58	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	C:/My%20Web%20Sites/demo2/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://www.laserteam.pro/)
22:33:58	60010/60010	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f338f870fcd0ff46362ef109d28533%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	C:/My%20Web%20Sites/demo2/stackpath.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	(from https://www.laserteam.pro/)
22:33:59	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/demo2/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.laserteam.pro/)
22:33:59	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%221af66-MA7aTWKCoG0FYjklj9PTw0TfSFM%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	C:/My%20Web%20Sites/demo2/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css	(from https://www.laserteam.pro/)
22:34:00	92077/92077	---M--	200	added ('OK')	image/jpeg	etag:%22v2976%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgWe7xvpb-_9pjCo1LqEVDrEAAgGgMvfyT1j_9657EtFTU7dn0ArllsYfTfycYbeg_NDnxjwBVE2aXVR87yPZ8mOoXtkg3ChvjwC1M5GRJQtvXiPs8Ivr4sm7JxVDIlcyhMxp4_qg9g3QIl/s16000/email-bg.jpg	C:/My%20Web%20Sites/demo2/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgWe7xvpb-_9pjCo1LqEVDrEAAgGgMvfyT1j_9657EtFTU7dn0ArllsYfTfycYbeg_NDnxjwBVE2aXVR87yPZ8mOoXtkg3ChvjwC1M5GRJQtvXiPs8Ivr4sm7JxVDIlcyhMxp4_qg9g3QIl/s16000/email-bg.jpg	(from https://www.laserteam.pro/)
22:34:01	109593/109593	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Apr%202017%2012:52:21%20GMT	https://www.marcoguglie.it/Codepen/AnimatedHeaderBg/demo-1/img/demo-1-bg.jpg	C:/My%20Web%20Sites/demo2/www.marcoguglie.it/Codepen/AnimatedHeaderBg/demo-1/img/demo-1-bg.jpg	(from https://www.laserteam.pro/)
22:34:01	3725/3725	---M--	200	added ('OK')	image/png	etag:%22v76c%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgpekvqXpRRsl3RJexwHe-rWxt4QluFIyA4o0sunRyE9c8lOYw_sSBxEgskrJ0MxhDAKiFUpGnYDxZFUDwH-S9ZacGllsxQpgGxq6ctE3b0f_5Nb8rGNyfYrGCDXFoQwlr6iH9DA4d9vZQ/s1600/nth.png	C:/My%20Web%20Sites/demo2/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgpekvqXpRRsl3RJexwHe-rWxt4QluFIyA4o0sunRyE9c8lOYw_sSBxEgskrJ0MxhDAKiFUpGnYDxZFUDwH-S9ZacGllsxQpgGxq6ctE3b0f_5Nb8rGNyfYrGCDXFoQwlr6iH9DA4d9vZQ/s1600/nth.png	(from https://www.laserteam.pro/)
22:34:06	123537/123537	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/p/work-with-us.html	C:/My%20Web%20Sites/demo2/www.laserteam.pro/p/work-with-us.html	(from https://www.laserteam.pro/)
22:34:08	129617/129617	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/p/youtube.html	C:/My%20Web%20Sites/demo2/www.laserteam.pro/p/youtube.html	(from https://www.laserteam.pro/)
22:34:10	135414/135414	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/p/twitter.html	C:/My%20Web%20Sites/demo2/www.laserteam.pro/p/twitter.html	(from https://www.laserteam.pro/)
22:34:11	122120/122120	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202025%2020:34:08%20GMT	https://www.laserteam.pro/p/instagram.html	C:/My%20Web%20Sites/demo2/www.laserteam.pro/p/instagram.10.delayed	(from https://www.laserteam.pro/)
22:34:12	125300/125300	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/p/verification-consulting.html	C:/My%20Web%20Sites/demo2/www.laserteam.pro/p/verification-consulting.html	(from https://www.laserteam.pro/)
22:34:14	128955/128955	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/p/listing.html	C:/My%20Web%20Sites/demo2/www.laserteam.pro/p/listing.html	(from https://www.laserteam.pro/)
22:34:14	125758/125758	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/p/telegram.html	C:/My%20Web%20Sites/demo2/www.laserteam.pro/p/telegram.html	(from https://www.laserteam.pro/)
22:34:15	124495/124495	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2003:21:20%20GMT	https://www.laserteam.pro/p/press.html	C:/My%20Web%20Sites/demo2/www.laserteam.pro/p/press.html	(from https://www.laserteam.pro/)
22:34:15	0/0	---M--	404	error ('Not%20Found')	image/jpeg	date:Thu,%2009%20Jan%202025%2020:34:13%20GMT	https://pbs.twimg.com/profile_images/1731260261858783232/8-GEkWOW_400x400.jpg	C:/My%20Web%20Sites/demo2/pbs.twimg.com/profile_images/1731260261858783232/8-GEkWOW_400x400.15.delayed	(from https://www.laserteam.pro/)
22:34:16	21497/21497	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2013:18:21%20GMT	https://pbs.twimg.com/profile_images/1682379992066412544/qx8S_4aD_400x400.jpg	C:/My%20Web%20Sites/demo2/pbs.twimg.com/profile_images/1682379992066412544/qx8S_4aD_400x400.jpg	(from https://www.laserteam.pro/)
